epoch,batchid,loss
1, 0,0.003030058229342
1, 1,0.002396882511675
1, 2,0.003007099032402
1, 3,0.003403319045901
1, 4,0.002233074977994
1, 5,0.002757930429652
1, 6,0.002471372252330
1, 7,0.002292240038514
1, 8,0.002027112990618
1, 9,0.002561894478276
1, 10,0.002633647760376
1, 11,0.002334007527679
1, 12,0.002400555880740
1, 13,0.002269239397720
1, 14,0.002115774201229
1, 15,0.002335358411074
1, 16,0.002374575473368
1, 17,0.002614408032969
1, 18,0.002607876900584
1, 19,0.002438685391098
1, 20,0.002148380735889
1, 21,0.002644552849233
1, 22,0.002562214387581
1, 23,0.002578698331490
1, 24,0.002920225262642
1, 25,0.002085832180455
1, 26,0.002525798976421
1, 27,0.002132322173566
1, 28,0.002168055623770
1, 29,0.002977387048304
1, 30,0.002909558592364
1, 31,0.002658334560692
1, 32,0.002276943996549
1, 33,0.002461114898324
1, 34,0.002881194930524
1, 35,0.003693690756336
1, 36,0.002398609882221
1, 37,0.002572671743110
1, 38,0.002196776680648
1, 39,0.002708167303354
1, 40,0.002931722206995
1, 41,0.002806181553751
1, 42,0.002468144753948
1, 43,0.002573615638539
1, 44,0.002892338903621
1, 45,0.002723048208281
1, 46,0.002875139005482
1, 47,0.002676913514733
1, 48,0.002251451136544
1, 49,0.002802714705467
1, 50,0.002150804735720
1, 51,0.002308716531843
1, 52,0.002236136002466
1, 53,0.002726189093664
1, 54,0.003616246860474
1, 55,0.001883835182525
1, 56,0.002390720415860
1, 57,0.002092920709401
1, 58,0.003272703150287
1, 59,0.002726397011429
1, 60,0.002381244674325
1, 61,0.002714432775974
1, 62,0.002602638909593
1, 63,0.002218566369265
1, 64,0.002372772200033
1, 65,0.002974675735459
1, 66,0.002115504350513
1, 67,0.002280143089592
1, 68,0.002130032749847
1, 69,0.002830073004588
1, 70,0.002406221348792
1, 71,0.002607428468764
1, 72,0.002559632528573
1, 73,0.002517732558772
1, 74,0.002313944278285
1, 75,0.002352900337428
1, 76,0.002267668722197
1, 77,0.002236324362457
1, 78,0.002203382318839
1, 79,0.002336132107303
1, 80,0.002618150785565
1, 81,0.002424222417176
1, 82,0.002234455430880
1, 83,0.003076478140429
1, 84,0.002433932852000
1, 85,0.002216570312157
1, 86,0.002105791820213
1, 87,0.002422514371574
1, 88,0.002310550073162
1, 89,0.002168879844248
1, 90,0.002550321631134
1, 91,0.002515338826925
1, 92,0.002800204325467
1, 93,0.002210188191384
1, 94,0.002730947220698
1, 95,0.002823044545949
1, 96,0.002611287869513
1, 97,0.002682787133381
1, 98,0.002596962032840
1, 99,0.002502230927348
1, 100,0.002623225096613
1, 101,0.002581421518698
1, 102,0.002681334968656
1, 103,0.002503762254491
1, 104,0.002075442811474
1, 105,0.002437762916088
1, 106,0.002462723758072
1, 107,0.003067917656153
1, 108,0.002716328017414
1, 109,0.002700726967305
1, 110,0.002875553909689
1, 111,0.002415438415483
1, 112,0.002660263096914
1, 113,0.002229501260445
1, 114,0.002366210799664
1, 115,0.002266735304147
1, 116,0.002176477806643
1, 117,0.002348023466766
1, 118,0.002870159223676
1, 119,0.002801226219162
1, 120,0.002336094621569
1, 121,0.002420909702778
1, 122,0.002271154196933
1, 123,0.002407717285678
1, 124,0.002267264295369
1, 125,0.002341281622648
1, 126,0.002219536807388
1, 127,0.003046422731131
1, 128,0.002340810140595
1, 129,0.002856788458303
1, 130,0.002386900596321
1, 131,0.002434516325593
1, 132,0.002655201591551
1, 133,0.002243313938379
1, 134,0.002427039667964
1, 135,0.002270280616358
1, 136,0.002224393421784
1, 137,0.003235685173422
1, 138,0.002432274632156
1, 139,0.002562430221587
1, 140,0.002241635927930
1, 141,0.002259282395244
1, 142,0.002732210094109
1, 143,0.002731762127951
1, 144,0.002279334934428
1, 145,0.002281918888912
1, 146,0.002469941508025
1, 147,0.002793433144689
1, 148,0.002679110737517
1, 149,0.002282238099724
1, 150,0.002616390120238
1, 151,0.002298654988408
1, 152,0.002437101909891
1, 153,0.002338363556191
1, 154,0.002018239349127
1, 155,0.003100408008322
1, 156,0.002719927346334
1, 157,0.002388204215094
1, 158,0.002112744143233
1, 159,0.002319968072698
1, 160,0.002654399257153
1, 161,0.002580718370155
1, 162,0.002589503070340
1, 163,0.002358369529247
1, 164,0.002186177298427
1, 165,0.002754922257736
1, 166,0.002878780476749
1, 167,0.002575377468020
1, 168,0.002578725805506
1, 169,0.002549029421061
1, 170,0.002404694911093
1, 171,0.002843468915671
1, 172,0.002177225891501
1, 173,0.002121331635863
1, 174,0.002092983108014
1, 175,0.002986475825310
1, 176,0.002719072159380
1, 177,0.002244293224066
1, 178,0.002678121672943
1, 179,0.003114963416010
1, 180,0.002392044756562
1, 181,0.001979516586289
1, 182,0.002659938065335
1, 183,0.002227193443105
1, 184,0.002376052550972
